No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,45000,48000,50000,56000,54000,57000,58000,66000,65000,64000,66000,67000,65000,63000,60000,56000,53000,55000,52000,53000,47000,46000,45000,43000,45000,43000,44000,47000,46000,48000,49000,67000,53419,43000
2,Pasar Senen Blok III - VI,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,90000,90000,90000,90000,80000,85000,80000,90000,90000,90000,90000,90000,90000,70000,80000,80000,70000,70000,90000,78226,70000
3,Pasar Jembatan Merah,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,100000,100000,100000,100000,100000,100000,95000,95000,95000,90000,90000,90000,90000,80000,80000,80000,80000,80000,80000,100000,86613,80000
4,Pasar Sunter Podomoro,68000,62000,65000,69000,67000,65000,68000,72000,70000,60000,85000,90000,84000,80000,79000,89000,70000,80000,89000,89000,79000,62000,62000,75000,78000,70000,70000,70000,65000,70000,70000,90000,73290,60000
5,Pasar Rawa Badak,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,80000,80000,80000,80000,80000,80000,80000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,80000,68387,60000
6,Pasar Grogol,65000,65000,65000,60000,60000,70000,70000,60000,60000,60000,80000,90000,80000,80000,80000,80000,85000,85000,80000,80000,80000,85000,60000,60000,60000,55000,60000,60000,60000,60000,60000,90000,69516,55000
7,Pasar Glodok,80000,80000,80000,80000,80000,80000,80000,80000,105000,105000,105000,90000,100000,100000,100000,100000,100000,100000,90000,90000,90000,80000,80000,80000,80000,75000,75000,75000,70000,70000,70000,105000,86129,70000
8,Pasar Minggu,77500,70000,70000,68000,68000,70000,70000,70000,75000,90000,90000,70000,85000,80000,85000,85000,85000,75000,80000,75000,80000,80000,80000,75000,75000,75000,75000,75000,75000,70000,70000,90000,76403,68000
9,Pasar Mayestik,80000,80000,80000,80000,80000,80000,80000,80000,100000,100000,100000,100000,100000,95000,90000,90000,90000,90000,90000,90000,85000,85000,80000,80000,80000,80000,80000,80000,80000,80000,80000,100000,85968,80000
10,Pasar Pramuka,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,75000,75000,75000,75000,75000,75000,75000,70000,70000,70000,70000,70000,70000,75000,71129,70000
11,Pasar Kramat Jati,80000,80000,80000,80000,80000,80000,80000,90000,100000,100000,100000,100000,100000,100000,100000,100000,90000,90000,90000,80000,80000,80000,80000,80000,80000,75000,75000,75000,75000,75000,75000,100000,85484,75000
