No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,12000,13000,12000,10000,9000,10000,10000,10000,9000,11000,11000,10000,11000,12000,11000,10000,11000,15000,15000,14000,12000,13000,12000,15000,14000,13000,11000,12000,16000,18000,18000,12067,9000
2,Pasar Senen Blok III - VI,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,27500,25000
3,Pasar Jembatan Merah,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,35000,35000,35000,35000,30000,30000,40000,35000,30000
4,Pasar Sunter Podomoro,26000,26000,24000,27000,27000,30000,31000,30000,30000,27000,30000,30000,30000,31000,30000,30000,30000,30000,32000,30000,30000,38000,40000,39000,30000,24000,40000,39000,26000,30000,40000,30567,24000
5,Pasar Rawa Badak,35000,35000,25000,25000,30000,30000,30000,30000,30000,30000,35000,35000,30000,30000,35000,30000,30000,30000,32000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,30733,25000
6,Pasar Grogol,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,28000,28000,24000,24000,24000,24000,24000,24000,24000,24000,28000,21600,20000
7,Pasar Glodok,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,33667,30000
8,Pasar Minggu,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,40000,40000,40000,40000,25000,25000,25000,25000,25000,25000,25000,25000,25000,40000,27000,25000
9,Pasar Mayestik,35000,35000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,33000,33000,35000,35000,35000,32000,33000,35000,35000,35000,35000,36000,36000,36000,36000,36000,35000,35000,40000,35033,32000
10,Pasar Pramuka,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,40000,40000,40000,40000,40000,40000,40000,30000,40000,32667,30000
11,Pasar Kramat Jati,32000,32000,32000,32000,32000,32000,32000,28000,28000,28000,28000,28000,28000,28000,25000,25000,25000,30000,30000,30000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,32833,25000
12,Pasar Jatinegara,25000,25000,30000,25000,25000,25000,25000,25000,25000,25000,25000,20000,25000,25000,25000,25000,25000,35000,35000,30000,30000,25000,30000,25000,35000,25000,25000,30000,25000,25000,35000,26667,20000
13,Pasar Perumnas Klender,23000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,24000,24000,24000,24000,24000,25000,25000,25000,24767,23000
14,Pasar Pulo Gadung,26000,25000,25000,26000,26000,26000,25000,26000,26000,24000,26000,36000,26000,26000,24000,24000,24000,28000,30000,30000,30000,30000,35000,45000,30000,28000,28000,28000,30000,30000,45000,28100,24000
15,Pasar Pal Meriam,20000,20000,18000,18000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,22000,22000,20000,20000,20000,22000,25000,25000,25000,25000,25000,25000,25000,22000,25000,25000,25000,21633,18000
16,Pasar Ciplak,20000,20000,20000,20000,20000,20000,20000,24000,24000,24000,24000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,24000,20000,20000,24000,24000,24000,24000,24000,24000,21333,20000
17,Pasar Cijantung,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,35000,35000,35000,35000,30000,30000,30000,30000,35000,35000,35000,30000,30000,35000,29833,25000
18,Pasar Cibubur,22000,22000,20000,23000,22000,24000,24000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,24000,24000,22000,22000,22000,22000,22000,22000,24000,22000,24000,22300,20000
19,Pasar Ujung Menteng,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,30000,28000,28000,28000,28000,28000,28000,28000,30000,26600,26000
20,Pasar Tanah Abang Blok A-G,30000,30000,30000,30000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,28833,25000
21,Pasar Petojo Ilir,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,25000,30000,30000,20000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,30000,30000,30000,30000,30000,30000,35000,29167,20000
22,Pasar Gondangdia,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,25000,25000,25000,25000,25000,25000,30000,25333,25000
23,Pasar Paseban,25000,30000,30000,30000,30000,30000,25000,30000,30000,30000,28000,28000,25000,30000,25000,25000,25000,30000,30000,35000,30000,25000,30000,30000,30000,30000,30000,25000,30000,35000,35000,28867,25000
24,Pasar Cempaka Putih,26000,26000,26000,28000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,27000,30000,30000,30000,30000,24000,24000,24000,26000,28000,27000,30000,26533,24000
25,Pasar Johar Baru,25000,25000,25000,30000,30000,25000,25000,25000,20000,30000,25000,30000,25000,30000,30000,30000,30000,40000,40000,40000,40000,35000,25000,30000,30000,30000,30000,35000,25000,35000,40000,29833,20000
26,Pasar Baru Metro Atom,30000,30000,30000,30000,30000,35000,30000,30000,35000,35000,30000,30000,30000,30000,35000,35000,35000,35000,30000,40000,40000,35000,35000,35000,35000,35000,40000,40000,40000,35000,40000,33833,30000
27,Pasar Kebayoran Lama,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,28000,30000,26433,25000
28,Pasar Cipete,23000,23000,23000,23000,22000,22000,22000,20000,20000,20000,20000,20000,22000,22000,20000,20000,20000,20000,20000,20000,22000,25000,26000,25000,25000,25000,25000,25000,25000,25000,26000,22333,20000
29,Pasar Pesanggrahan,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,24000,25000,25000,25000,24000,24000,25000,25000,30000,30000,30000,28000,28000,28000,28000,28000,28000,28000,32000,32000,26333,24000
30,Pasar Pondok Labu,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,30000,40000,30000,40000,30000,30000,30000,30000,30000,30000,30000,40000,31000,30000
31,Pasar Lenteng Agung,25000,25000,25000,25000,24000,24000,24000,24000,24000,23000,23000,24000,24000,24000,24000,24000,24000,24000,24000,27000,27000,25000,25000,25000,25000,25000,25000,25000,25000,25000,27000,24567,23000
32,Pasar Mampang Prapatan,28000,28000,28000,28000,26000,26000,26000,20000,20000,20000,20000,20000,20000,28000,20000,20000,20000,20000,20000,20000,20000,25000,24000,24000,25000,25000,25000,25000,24000,28000,28000,23433,20000
33,Pasar Tebet Barat,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
34,Pasar Rumput,25000,25000,25000,22000,22000,22000,22000,22000,22000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,24400,22000
35,Pasar Tomang Barat,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,28000,25000,24000,24000,24000,24000,24000,24000,28000,24167,24000
36,Pasar Cengkareng,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
37,Pasar Kalideres,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,29500,25000
38,Pasar Pos Pengumben,28000,28000,30000,28000,28000,28000,28000,28000,28000,28000,28000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,29333,28000
39,Pasar Pal Merah,25000,23000,23000,22000,22000,22000,22000,22000,22000,22000,25000,25000,25000,25000,22000,25000,22000,25000,25000,25000,25000,30000,35000,30000,32000,30000,30000,30000,35000,32000,35000,25933,22000
40,Pasar Jembatan Lima,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,20000,20000,25000,25000,20000,20000,25000,35000,35000,30000,38000,30000,25000,25000,30000,30000,30000,30000,38000,26767,20000
