No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,21000,19000,18000,17000,19000,20000,22000,20000,17000,19000,23000,26000,27000,28000,27000,28000,28000,27000,26000,28000,30000,35000,33000,19000,29000,28000,32000,30000,32000,30000,35000,35000,25581,17000
2,Pasar Senen Blok III - VI,40000,35000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,45000,45000,40000,40000,55000,55000,55000,60000,55000,55000,55000,55000,55000,60000,42097,30000
3,Pasar Jembatan Merah,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,45000,45000,50000,46129,40000
4,Pasar Sunter Podomoro,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,39000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,54000,55000,55000,55000,55000,55000,50000,50000,55000,43484,39000
5,Pasar Rawa Badak,30000,40000,40000,40000,40000,40000,40000,40000,40000,32000,32000,32000,32000,32000,32000,32000,32000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,37613,30000
6,Pasar Grogol,30000,30000,30000,28000,30000,28000,28000,28000,28000,28000,28000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,50000,50000,45000,45000,45000,40000,40000,40000,40000,40000,50000,35839,28000
7,Pasar Glodok,35000,35000,30000,35000,35000,35000,35000,35000,45000,45000,40000,40000,40000,40000,40000,40000,50000,50000,50000,50000,50000,50000,55000,55000,55000,55000,50000,50000,50000,50000,50000,55000,44355,30000
8,Pasar Minggu,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,45000,48000,45000,45000,50000,50000,50000,50000,47000,45000,45000,45000,50000,40806,35000
9,Pasar Mayestik,50000,50000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,50000,40645,40000
10,Pasar Pramuka,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,55000,55000,55000,55000,55000,55000,55000,50000,50000,55000,44032,40000
11,Pasar Kramat Jati,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,60000,60000,60000,55000,55000,55000,55000,50000,45000,60000,48871,45000
12,Pasar Jatinegara,35000,35000,35000,40000,40000,35000,30000,40000,30000,30000,30000,45000,45000,45000,40000,45000,45000,45000,50000,50000,50000,50000,50000,45000,45000,50000,40000,45000,45000,50000,50000,50000,42258,30000
13,Pasar Perumnas Klender,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,40000,35000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,50000,50000,35484,30000
