No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,7000,7000,8000,6000,7000,6000,6500,6000,7500,6500,6000,6000,7000,7000,8000,8500,8000,7000,8000,8500,8000,7500,7500,11000,8000,8000,9000,11000,11000,7554,6000
2,Pasar Senen Blok III - VI,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,20000,25000,30000,29464,20000
3,Pasar Jembatan Merah,35000,35000,35000,30000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,32500,30000
4,Pasar Sunter Podomoro,30000,30000,25000,25000,25000,24000,25000,28000,25000,25000,25000,30000,25000,20000,20000,21000,30000,25000,25000,25000,30000,25000,25000,25000,25000,25000,20000,25000,30000,25286,20000
5,Pasar Rawa Badak,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,32000,32000,35000,30000,30000,30000,35000,30321,30000
6,Pasar Grogol,22000,22000,20000,22000,20000,20000,20000,20000,18000,18000,22000,22000,20000,20000,20000,20000,22000,22000,22000,25000,23000,20000,20000,18000,18000,18000,18000,17000,25000,20321,17000
7,Pasar Glodok,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,27143,25000
8,Pasar Minggu,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
9,Pasar Mayestik,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,25000,25000,25000,25000,28000,28000,28000,28000,28000,28000,28000,35000,35000,35000,30000,35000,29143,25000
10,Pasar Pramuka,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
11,Pasar Kramat Jati,35000,35000,35000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,15000,32000,32000,32000,32000,35000,31714,15000
12,Pasar Jatinegara,20000,25000,25000,20000,25000,25000,30000,20000,25000,30000,20000,25000,20000,20000,20000,20000,25000,20000,25000,20000,25000,25000,25000,25000,25000,20000,25000,25000,30000,23393,20000
13,Pasar Perumnas Klender,30000,30000,30000,30000,30000,28000,28000,28000,28000,28000,28000,28000,28000,27000,26000,25000,25000,25000,25000,25000,25000,25000,23000,23000,25000,25000,25000,25000,30000,26714,23000
14,Pasar Pulo Gadung,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,35893,30000
15,Pasar Pal Meriam,18000,18000,18000,18000,18000,18000,15000,15000,15000,15000,15000,15000,15000,15000,15000,18000,18000,20000,20000,20000,20000,20000,20000,20000,22000,20000,20000,20000,22000,17893,15000
16,Pasar Ciplak,24000,24000,24000,24000,24000,24000,20000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,18000,18000,18000,18000,18000,18000,18000,18000,24000,22143,18000
17,Pasar Cijantung,30000,35000,35000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,35000,25893,25000
18,Pasar Cibubur,24000,25000,25000,24000,24000,22000,22000,23000,22000,22000,24000,24000,20000,20000,20000,20000,20000,22000,22000,16000,18000,18000,20000,20000,20000,22000,22000,22000,25000,21536,16000
19,Pasar Ujung Menteng,26000,26000,26000,26000,26000,26000,24000,24000,24000,24000,24000,24000,24000,26000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,24000,24000,24000,24000,26000,23786,22000
20,Pasar Tanah Abang Blok A-G,35000,35000,25000,25000,25000,25000,25000,35000,35000,25000,25000,25000,25000,25000,25000,25000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,25000,35000,24464,20000
21,Pasar Petojo Ilir,25000,25000,25000,30000,30000,30000,30000,20000,20000,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,25179,20000
22,Pasar Gondangdia,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,18000,18000,18000,18000,18000,18000,18000,25000,25000,25000,25000,20036,18000
23,Pasar Paseban,35000,35000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,24000,25000,30000,30000,24000,30000,30000,30000,30000,30000,30000,30000,30000,35000,31714,24000
24,Pasar Cempaka Putih,26000,28000,28000,28000,28000,28000,26000,28000,28000,23000,20000,20000,23000,23000,23000,26000,20000,20000,23000,23000,18000,23000,23000,23000,23000,18000,18000,18000,28000,23429,18000
25,Pasar Johar Baru,25000,25000,25000,25000,25000,25000,20000,20000,20000,20000,20000,20000,20000,20000,25000,25000,25000,20000,20000,20000,25000,25000,25000,25000,20000,25000,25000,20000,25000,22679,20000
26,Pasar Baru Metro Atom,30000,35000,30000,30000,30000,30000,30000,30000,30000,25000,30000,25000,30000,30000,30000,30000,30000,35000,35000,35000,30000,30000,35000,30000,30000,35000,35000,30000,35000,30893,25000
27,Pasar Kebayoran Lama,25000,25000,25000,20000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,25000,25000,25000,25000,20000,20000,20000,20000,20000,20000,20000,20000,25000,22536,20000
28,Pasar Cipete,25000,23000,23000,23000,20000,18000,18000,18000,18000,18000,16000,18000,18000,16000,16000,16000,18000,16000,16000,16000,16000,18000,16000,16000,16000,16000,16000,16000,25000,17857,16000
29,Pasar Pesanggrahan,20000,22000,22000,24000,24000,20000,20000,25000,25000,25000,22000,20000,20000,20000,18000,22000,22000,20000,20000,18000,20000,22000,20000,20000,20000,21000,21000,23000,25000,21286,18000
30,Pasar Pondok Labu,30000,30000,20000,30000,30000,30000,25000,20000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,29107,20000
31,Pasar Lenteng Agung,25000,25000,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,20000,20000,20000,20000,20000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,25000,23536,20000
32,Pasar Mampang Prapatan,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,16000,16000,16000,16000,16000,16000,16000,16000,20000,20000,20000,20000,18857,16000
33,Pasar Tebet Barat,35000,30000,30000,30000,30000,30000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,30000,25000
34,Pasar Rumput,25000,25000,25000,25000,20000,20000,20000,20000,20000,25000,25000,25000,25000,20000,20000,25000,25000,22000,22000,20000,20000,20000,22000,20000,20000,20000,20000,22000,25000,22071,20000
35,Pasar Tomang Barat,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,28000,25429,24000
36,Pasar Cengkareng,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,20000,20000,35000,33929,20000
37,Pasar Kalideres,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,25179,25000
38,Pasar Pos Pengumben,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,30000,30000,30000,30000,30000,30000,30000,20000,20000,20000,20000,20000,20000,20000,20000,20000,30000,26429,20000
39,Pasar Pal Merah,30000,26000,26000,25000,25000,22000,23000,22000,20000,20000,20000,20000,20000,22000,18000,20000,20000,20000,18000,18000,21000,18000,18000,18000,22000,18000,20000,20000,30000,21071,18000
40,Pasar Jembatan Lima,25000,25000,25000,23000,20000,23000,25000,11000,18000,20000,15000,15000,15000,15000,16000,16000,15000,15000,16000,16000,15000,15000,15000,15000,20000,20000,20000,20000,25000,18179,11000
41,Pasar Kelapa Gading,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
42,Pasar Pademangan Timur,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,22000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,22000,22000,20143,20000
43,Pasar Pluit,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,40000,39643,35000
44,Pasar Kalibaru,25000,25000,25000,20000,20000,20000,20000,20000,20000,25000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,22000,25000,20786,20000
45,Pasar Koja Baru,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,22000,22000,22000,22000,22000,27000,28000,34000,27000,34000,25571,22000
46,Pasar Rawamangun,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
47,Pasar Klender SS,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
48,Pasar Anyer Bahari,20000,25000,25000,25000,25000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,27000,30000,25607,20000
