No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,23000,20000,18000,17000,16000,15000,16000,13000,14000,12000,11000,11000,12000,11000,10000,9500,9000,8000,8000,8000,7700,8000,8500,8000,7000,8500,8000,7000,7000,7000,7000,23000,11135,7000
2,Pasar Senen Blok III - VI,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,30161,30000
3,Pasar Jembatan Merah,35000,35000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,35968,35000
4,Pasar Sunter Podomoro,31000,32000,32000,27000,27000,35000,35000,36000,31000,34000,30000,35000,32000,31000,31000,34000,32000,31000,35000,35000,30000,30000,31000,26000,29000,30000,29000,30000,27000,30000,28000,36000,31161,26000
5,Pasar Rawa Badak,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,32097,30000
6,Pasar Grogol,30000,30000,30000,30000,30000,30000,30000,30000,30000,28000,28000,25000,25000,25000,25000,25000,25000,22000,22000,22000,22000,22000,22000,22000,22000,22000,25000,22000,22000,20000,25000,30000,25419,20000
7,Pasar Glodok,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,35968,30000
8,Pasar Minggu,35000,40000,35000,40000,40000,40000,35000,35000,35000,35000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,25000,25000,25000,25000,25000,25000,25000,20000,20000,20000,20000,40000,31129,20000
9,Pasar Mayestik,40000,40000,43000,43000,43000,43000,40000,40000,40000,40000,40000,35000,35000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,32000,32000,30000,30000,43000,36968,30000
10,Pasar Pramuka,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,32097,30000
11,Pasar Kramat Jati,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,36000,35000,35000,35000,35000,35000,35000,35000,40000,38258,35000
12,Pasar Jatinegara,35000,35000,35000,32000,30000,35000,30000,35000,30000,30000,25000,30000,30000,30000,25000,30000,25000,25000,25000,25000,25000,20000,30000,30000,20000,30000,30000,20000,20000,20000,20000,35000,27806,20000
13,Pasar Perumnas Klender,30000,35000,35000,35000,30000,30000,30000,30000,30000,30000,28000,28000,28000,28000,30000,30000,30000,30000,30000,30000,30000,30000,35000,30000,30000,30000,30000,30000,30000,30000,30000,35000,30387,28000
14,Pasar Pulo Gadung,37000,40000,36000,40000,40000,50000,35000,35000,40000,40000,40000,40000,36000,36000,40000,35000,30000,35000,35000,35000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,50000,36935,30000
15,Pasar Pal Meriam,30000,30000,30000,30000,30000,30000,30000,30000,30000,32000,32000,24000,24000,24000,22000,22000,24000,20000,20000,20000,20000,20000,18000,17000,17000,18000,18000,18000,18000,18000,18000,32000,23677,17000
16,Pasar Ciplak,30000,30000,30000,30000,24000,24000,30000,30000,30000,28000,28000,28000,30000,30000,30000,20000,20000,20000,20000,20000,20000,30000,30000,30000,30000,30000,30000,30000,24000,24000,24000,30000,26903,20000
17,Pasar Cijantung,35000,35000,35000,40000,40000,40000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,31452,30000
18,Pasar Cibubur,30000,30000,34000,34000,28000,28000,28000,28000,28000,28000,28000,28000,28000,34000,28000,28000,28000,28000,28000,28000,28000,26000,24000,25000,24000,26000,26000,24000,24000,24000,24000,34000,27645,24000
