No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,43000,44000,47000,52000,49000,48000,49000,47000,49000,50000,51000,52000,53000,52000,54000,55000,53000,54000,52000,50000,48000,48000,47000,49000,48000,47000,47000,48000,46000,48000,46000,55000,49226,43000
2,Pasar Senen Blok III - VI,30000,30000,30000,30000,70000,75000,75000,60000,60000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,75000,75000,75000,75000,75000,70000,70000,75000,65323,30000
3,Pasar Jembatan Merah,60000,60000,60000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,80000,80000,75000,75000,70000,75000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,73065,60000
4,Pasar Sunter Podomoro,57000,59000,57000,57000,68000,65000,65000,65000,67000,67000,67000,68000,68000,68000,71000,65000,58000,58000,62000,67000,69000,68000,50000,68000,72000,68000,67000,67000,68000,67000,69000,72000,64903,50000
5,Pasar Rawa Badak,55000,55000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,70000,60000,60000,65000,65000,70000,70000,70000,70000,65000,65000,65000,65000,65000,60000,60000,60000,70000,62419,55000
6,Pasar Grogol,50000,50000,60000,65000,65000,65000,65000,60000,60000,65000,65000,60000,60000,60000,60000,60000,60000,70000,70000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,65000,70000,61129,50000
7,Pasar Glodok,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,75000,75000,75000,75000,75000,80000,80000,80000,75000,75000,75000,75000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,75323,70000
8,Pasar Minggu,60000,60000,60000,60000,60000,65000,65000,60000,60000,60000,60000,60000,60000,60000,60000,65000,65000,65000,65000,65000,65000,70000,65000,65000,70000,68000,68000,68000,68000,68000,68000,70000,63806,60000
9,Pasar Mayestik,60000,60000,75000,75000,75000,75000,75000,75000,75000,75000,50000,50000,50000,50000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,50000,50000,50000,80000,80000,80000,80000,70645,50000
10,Pasar Pramuka,60000,60000,60000,60000,75000,75000,75000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,75000,69194,60000
11,Pasar Kramat Jati,70000,70000,70000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,79032,70000
12,Pasar Jatinegara,60000,65000,60000,65000,65000,65000,60000,60000,60000,65000,65000,65000,65000,65000,65000,65000,70000,70000,70000,80000,75000,80000,65000,60000,65000,75000,70000,70000,65000,70000,65000,80000,66613,60000
13,Pasar Perumnas Klender,50000,50000,50000,50000,70000,75000,70000,60000,60000,60000,60000,60000,60000,60000,60000,65000,65000,60000,60000,60000,60000,65000,65000,60000,70000,70000,75000,70000,65000,65000,60000,75000,62258,50000
14,Pasar Pulo Gadung,57000,60000,60000,68000,66000,65000,65000,64000,60000,66000,68000,66000,65000,65000,68000,70000,68000,68000,68000,68000,68000,70000,72000,68000,65000,68000,68000,68000,60000,72000,68000,72000,66194,57000
15,Pasar Pal Meriam,42000,50000,55000,50000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,65000,65000,65000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,65000,57161,42000
16,Pasar Ciplak,50000,50000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,59355,50000
17,Pasar Cijantung,65000,65000,65000,70000,70000,70000,65000,70000,70000,70000,70000,70000,70000,68000,70000,70000,70000,70000,70000,70000,70000,70000,70000,75000,75000,75000,75000,75000,75000,70000,70000,75000,70258,65000
18,Pasar Cibubur,50000,55000,28000,45000,55000,55000,55000,55000,55000,65000,65000,60000,60000,60000,65000,65000,65000,60000,75000,70000,70000,75000,70000,80000,75000,70000,70000,70000,70000,70000,70000,80000,63000,28000
19,Pasar Ujung Menteng,36000,36000,36000,45000,36000,45000,70000,75000,75000,75000,75000,70000,70000,60000,68000,66000,70000,68000,70000,70000,70000,66000,66000,66000,68000,68000,70000,70000,70000,70000,70000,75000,63548,36000
20,Pasar Tanah Abang Blok A-G,60000,60000,60000,75000,75000,75000,70000,65000,70000,70000,60000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,80000,70000,80000,69355,60000
21,Pasar Petojo Ilir,60000,60000,60000,70000,70000,70000,70000,65000,65000,70000,70000,70000,70000,70000,70000,70000,70000,80000,80000,80000,80000,80000,65000,65000,65000,65000,65000,65000,65000,65000,70000,80000,69032,60000
22,Pasar Gondangdia,55000,60000,60000,65000,65000,65000,65000,60000,60000,60000,70000,60000,60000,60000,65000,65000,65000,65000,65000,65000,65000,65000,70000,70000,65000,65000,65000,65000,60000,60000,60000,70000,63387,55000
23,Pasar Paseban,40000,45000,50000,45000,50000,55000,50000,50000,55000,30000,50000,50000,60000,60000,60000,60000,60000,35000,70000,70000,70000,75000,70000,70000,70000,70000,70000,70000,75000,70000,70000,75000,58871,30000
24,Pasar Cempaka Putih,50000,50000,50000,50000,50000,50000,50000,60000,60000,60000,60000,60000,60000,60000,60000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,60000,60000,60000,70000,61935,50000
25,Pasar Johar Baru,60000,60000,60000,60000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,75000,70000,70000,70000,75000,75000,70000,70000,70000,70000,70000,70000,70000,70000,70000,75000,75000,75000,69516,60000
26,Pasar Baru Metro Atom,60000,70000,70000,70000,75000,70000,70000,65000,70000,70000,70000,70000,70000,70000,70000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,80000,80000,80000,80000,72742,60000
27,Pasar Kebayoran Lama,35000,38000,60000,70000,65000,65000,65000,65000,65000,65000,60000,50000,50000,50000,50000,50000,60000,60000,60000,50000,50000,55000,55000,55000,60000,60000,60000,60000,68000,55000,55000,70000,56968,35000
28,Pasar Cipete,55000,55000,60000,60000,60000,60000,65000,65000,65000,65000,60000,60000,60000,60000,65000,65000,65000,65000,65000,65000,70000,65000,65000,65000,65000,65000,68000,65000,68000,60000,60000,70000,63097,55000
29,Pasar Pesanggrahan,62000,60000,60000,68000,70000,70000,70000,60000,65000,63000,65000,65000,65000,70000,68000,70000,75000,75000,70000,70000,75000,80000,70000,75000,75000,62000,65000,65000,67000,83000,70000,83000,68645,60000
30,Pasar Pondok Labu,60000,60000,60000,80000,70000,65000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,80000,80000,80000,70000,80000,70000,70000,70000,70000,70000,70000,70000,80000,70484,60000
31,Pasar Lenteng Agung,48000,48000,45000,45000,50000,50000,55000,50000,60000,60000,60000,60000,65000,65000,65000,65000,65000,65000,65000,65000,65000,70000,70000,80000,80000,70000,75000,75000,70000,70000,70000,80000,62774,45000
32,Pasar Mampang Prapatan,50000,50000,50000,80000,80000,80000,80000,80000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,80000,69677,50000
33,Pasar Tebet Barat,50000,70000,70000,70000,70000,70000,70000,70000,70000,60000,60000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,80000,80000,80000,80000,70000,70000,70000,70000,80000,80000,70323,50000
34,Pasar Rumput,55000,60000,60000,65000,70000,65000,70000,70000,70000,75000,70000,70000,65000,65000,65000,70000,70000,65000,65000,65000,70000,65000,70000,70000,70000,70000,70000,70000,65000,70000,70000,75000,67419,55000
35,Pasar Tomang Barat,55000,55000,60000,60000,60000,60000,60000,60000,60000,60000,60000,65000,60000,60000,60000,70000,70000,70000,60000,60000,60000,60000,65000,65000,65000,65000,65000,65000,65000,60000,60000,70000,61935,55000
36,Pasar Cengkareng,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,70000,70000,70000,60000,60000,60000,60000,60000,60000,60000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,63871,60000
37,Pasar Kalideres,60000,45000,60000,60000,70000,65000,65000,65000,65000,70000,70000,65000,80000,80000,65000,65000,65000,65000,60000,60000,60000,60000,65000,65000,75000,75000,75000,80000,75000,75000,75000,80000,67097,45000
38,Pasar Pos Pengumben,60000,60000,60000,60000,60000,60000,50000,65000,65000,65000,65000,65000,65000,80000,75000,75000,75000,75000,75000,75000,75000,75000,70000,70000,70000,70000,65000,65000,65000,65000,70000,80000,67419,50000
39,Pasar Pal Merah,65000,60000,55000,65000,60000,60000,60000,60000,65000,70000,70000,70000,70000,70000,70000,75000,75000,75000,70000,70000,70000,70000,75000,70000,80000,75000,70000,70000,75000,75000,80000,80000,69194,55000
40,Pasar Jembatan Lima,55000,55000,50000,45000,45000,50000,50000,50000,55000,55000,50000,50000,55000,55000,55000,55000,55000,60000,60000,60000,60000,55000,55000,55000,50000,55000,55000,55000,55000,55000,55000,60000,53871,45000
41,Pasar Kelapa Gading,60000,60000,60000,60000,65000,65000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,68387,60000
42,Pasar Pademangan Timur,60000,60000,60000,60000,60000,60000,60000,55000,60000,65000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,75000,72000,72000,72000,80000,80000,75000,60000,60000,60000,80000,66968,55000
43,Pasar Pluit,70000,70000,70000,70000,70000,70000,65000,65000,65000,65000,65000,65000,70000,70000,70000,70000,70000,80000,80000,80000,80000,80000,80000,70000,70000,70000,70000,70000,70000,70000,70000,80000,70968,65000
44,Pasar Kalibaru,60000,60000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,80000,80000,80000,80000,80000,80000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,80000,71290,60000
