No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,8000,9000,10000,9000,8000,11000,12000,10000,12000,11000,10000,10000,10000,11000,11000,10000,12000,13000,11000,11000,12000,12000,13000,12000,12000,11000,13000,12000,12000,12000,11000,13000,11000,8000
2,Pasar Senen Blok III - VI,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
3,Pasar Jembatan Merah,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,32903,30000
4,Pasar Sunter Podomoro,25000,30000,30000,25000,25000,30000,25000,25000,25000,25000,30000,25000,25000,22000,22000,24000,25000,25000,27000,25000,30000,25000,25000,30000,30000,30000,25000,25000,25000,27000,28000,30000,26290,22000
5,Pasar Rawa Badak,32000,32000,32000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,35000,35000,35000,35000,35000,35000,33419,30000
6,Pasar Grogol,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,18000,20000,20000,20000,20000,20000,20000,21000,21000,18000,18000,18000,20000,20000,21000,20000,21000,21000,21000,21000,18774,17000
7,Pasar Glodok,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,35000,35000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,34194,30000
8,Pasar Minggu,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,22258,20000
9,Pasar Mayestik,35000,35000,35000,30000,30000,33000,33000,33000,33000,33000,35000,35000,36000,36000,36000,36000,36000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,40000,40000,40000,35161,30000
10,Pasar Pramuka,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
11,Pasar Kramat Jati,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
12,Pasar Jatinegara,20000,20000,25000,25000,25000,25000,25000,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,24516,20000
13,Pasar Perumnas Klender,25000,23000,20000,20000,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,23000,20000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,25000,23000,23000,25000,23387,20000
14,Pasar Pulo Gadung,35000,35000,35000,35000,24000,28000,25000,30000,30000,30000,30000,28000,24000,28000,28000,26000,26000,32000,32000,32000,32000,32000,32000,32000,32000,33000,33000,33000,26000,26000,25000,35000,29968,24000
15,Pasar Pal Meriam,20000,20000,20000,20000,22000,22000,22000,22000,22000,20000,22000,22000,22000,25000,25000,25000,24000,24000,24000,24000,22000,22000,22000,22000,22000,22000,22000,20000,20000,20000,20000,25000,21968,20000
16,Pasar Ciplak,18000,18000,18000,18000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,24000,24000,24000,24000,24000,24000,24000,20516,18000
17,Pasar Cijantung,30000,30000,30000,30000,30000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,25000,30000,27258,25000
18,Pasar Cibubur,22000,24000,24000,22000,22000,20000,20000,20000,26000,26000,20000,22000,22000,22000,22000,22000,22000,22000,22000,25000,20000,20000,20000,20000,20000,22000,23000,23000,22000,22000,22000,26000,21968,20000
19,Pasar Ujung Menteng,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,26000,26000,26000,24000,24000,24000,24000,26000,24000,24000,24000,24000,25000,26000,26000,26000,26000,26000,28000,26000,28000,24806,24000
20,Pasar Tanah Abang Blok A-G,25000,25000,30000,30000,25000,25000,25000,30000,30000,30000,30000,35000,30000,30000,30000,30000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,30000,30000,30000,30000,35000,29032,25000
21,Pasar Petojo Ilir,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,25000,25000,25000,25000,25000,30000,25323,25000
22,Pasar Gondangdia,25000,25000,25000,25000,25000,25000,28000,25000,25000,25000,30000,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,25097,20000
23,Pasar Paseban,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,30000,30000,30000,30000,25000,25000,25000,25000,25000,30000,25000,25000,30000,30000,30000,30000,30000,30000,35000,29032,25000
24,Pasar Cempaka Putih,18000,18000,18000,18000,18000,20000,18000,20000,20000,20000,24000,24000,24000,24000,24000,25000,25000,26000,26000,26000,26000,25000,25000,26000,26000,25000,27000,26000,26000,26000,26000,27000,23226,18000
25,Pasar Johar Baru,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,22000,22000,25000,25000,25000,25000,20000,30000,30000,25000,25000,25000,35000,25000,25000,25000,35000,35000,35000,35000,26258,20000
26,Pasar Baru Metro Atom,35000,35000,30000,30000,35000,30000,35000,30000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,30968,30000
27,Pasar Kebayoran Lama,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,23000,25000,20000,25000,25000,25000,25000,32000,26000,25000,25000,25000,25000,25000,25000,32000,22452,20000
