No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,16000,14000,15000,18000,19000,21000,23000,24000,24000,23000,24000,23000,22000,23000,21000,26000,23000,21000,22000,20000,22000,19000,17000,19000,18000,17000,16000,18000,17000,19000,26000,20133,14000
2,Pasar Senen Blok III - VI,40000,40000,40000,50000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,50000,40333,40000
3,Pasar Jembatan Merah,50000,50000,50000,50000,50000,40000,40000,50000,50000,50000,50000,50000,50000,45000,45000,45000,45000,50000,50000,50000,50000,50000,50000,50000,45000,45000,45000,40000,40000,40000,50000,47167,40000
4,Pasar Sunter Podomoro,40000,40000,40000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,40167,40000
5,Pasar Rawa Badak,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,40000,36833,30000
6,Pasar Grogol,30000,30000,30000,28000,28000,30000,30000,40000,40000,40000,32000,32000,32000,35000,35000,35000,35000,32000,32000,35000,35000,32000,32000,32000,32000,30000,30000,30000,30000,30000,40000,32467,28000
7,Pasar Glodok,35000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,40000,38000,35000
8,Pasar Minggu,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,38000,38000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,35000,30000,35000,35000,45000,37033,30000
9,Pasar Mayestik,50000,50000,50000,50000,50000,50000,48000,48000,48000,48000,48000,48000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,60000,50000,50000,60000,49933,48000
10,Pasar Pramuka,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
11,Pasar Kramat Jati,40000,40000,40000,40000,40000,40000,40000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,48000,45133,40000
12,Pasar Jatinegara,30000,50000,40000,45000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,30000,35000,40000,35000,40000,40000,40000,35000,35000,30000,30000,35000,40000,25000,35000,35000,50000,37167,25000
13,Pasar Perumnas Klender,45000,45000,45000,45000,45000,40000,40000,40000,40000,45000,45000,45000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,30000,30000,30000,45000,40167,30000
14,Pasar Pulo Gadung,40000,40000,40000,32000,30000,40000,36000,38000,40000,40000,44000,44000,40000,40000,40000,40000,40000,32000,38000,38000,36000,38000,38000,38000,34000,38000,38000,34000,34000,38000,44000,37933,30000
15,Pasar Pal Meriam,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,35000,35000,35000,33333,30000
16,Pasar Ciplak,40000,40000,40000,40000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,34333,30000
17,Pasar Cijantung,40000,40000,40000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,38833,35000
18,Pasar Cibubur,40000,40000,40000,30000,32000,35000,30000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,40000,38000,35000,35000,36000,36000,36000,35000,38000,36000,32000,35000,35000,40000,34467,30000
19,Pasar Ujung Menteng,30000,25000,25000,25000,25000,25000,30000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,32167,25000
20,Pasar Tanah Abang Blok A-G,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
21,Pasar Petojo Ilir,35000,35000,35000,35000,35000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,40000,40000,40000,40000,30000,30000,30000,40000,40000,40000,40000,40000,40000,45000,40167,30000
22,Pasar Gondangdia,30000,35000,35000,40000,35000,35000,35000,40000,40000,40000,40000,40000,35000,40000,35000,35000,35000,40000,40000,40000,35000,35000,35000,35000,32000,32000,32000,32000,32000,35000,40000,36000,30000
23,Pasar Paseban,40000,40000,40000,40000,35000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,30000,35000,30000,35000,40000,40000,35000,40000,40000,40000,40000,35000,40000,40000,40000,40000,38167,30000
24,Pasar Cempaka Putih,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,35000,45000,40000,40000,40000,40000,40000,40000,40000,45000,43500,35000
25,Pasar Johar Baru,40000,40000,40000,40000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,43000,43000,43000,42000,43000,43000,43000,30000,31000,31000,31000,31000,31000,43000,39700,30000
26,Pasar Baru Metro Atom,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
27,Pasar Kebayoran Lama,35000,35000,35000,45000,38000,40000,40000,40000,40000,40000,40000,40000,45000,40000,40000,42000,40000,36000,35000,35000,40000,40000,40000,38000,40000,38000,36000,40000,40000,40000,45000,39100,35000
28,Pasar Cipete,30000,35000,35000,35000,30000,30000,35000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,40000,40000,40000,40000,35000,30000,38000,35000,35000,35000,35000,30000,45000,37267,30000
29,Pasar Pesanggrahan,32000,32000,35000,30000,30000,35000,40000,40000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,38000,38000,40000,40000,35000,35000,35000,36000,36000,35000,40000,37067,30000
30,Pasar Pondok Labu,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,38000,38000,35000,35000,35000,40000,40000,40000,40000,40000,40000,39367,35000
