No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,27000,28000,26000,29000,30000,31000,32000,34000,31000,30000,29000,28000,26000,24000,23000,25000,26000,23000,23000,21000,19000,20000,21000,21000,22000,18000,19000,17000,15000,16000,15000,34000,24161,15000
2,Pasar Senen Blok III - VI,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,40000,40000,40000,40000,40000,50000,40000,40000,40000,40000,50000,40000,40000,40000,50000,40806,40000
3,Pasar Jembatan Merah,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
4,Pasar Sunter Podomoro,40000,40000,40000,45000,46000,46000,50000,40000,50000,47000,42000,45000,45000,45000,40000,40000,40000,50000,50000,50000,50000,40000,40000,45000,50000,50000,50000,40000,35000,40000,40000,50000,44226,35000
5,Pasar Rawa Badak,50000,50000,50000,50000,50000,50000,50000,50000,50000,40000,40000,40000,40000,50000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,50000,43226,40000
6,Pasar Grogol,36000,35000,35000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,35000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,32000,36000,32000,30000,30000,30000,38000,35774,30000
7,Pasar Glodok,50000,50000,50000,50000,45000,45000,45000,45000,45000,50000,50000,50000,50000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,40000,40000,35000,35000,50000,45323,35000
8,Pasar Minggu,40000,40000,40000,40000,40000,40000,40000,40000,37000,40000,40000,40000,40000,37000,40000,38000,45000,45000,45000,45000,45000,45000,42000,45000,45000,50000,50000,45000,45000,45000,45000,50000,42387,37000
9,Pasar Mayestik,65000,65000,65000,65000,65000,65000,55000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,55000,50000,50000,50000,50000,50000,50000,50000,65000,53226,50000
10,Pasar Pramuka,45000,45000,45000,45000,45000,45000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,40000,40000,40000,40000,50000,47742,40000
11,Pasar Kramat Jati,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,60000,53871,50000
