No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,52000,48000,43000,45000,42000,44000,42000,39000,40000,38000,37000,36000,34000,31000,33000,32000,30000,33000,38000,41000,47000,50000,44000,45000,41000,31000,32000,29000,30000,52000,38862,29000
2,Pasar Senen Blok III - VI,80000,80000,75000,75000,75000,70000,70000,70000,70000,65000,65000,60000,60000,60000,60000,60000,55000,55000,55000,60000,60000,60000,60000,60000,65000,65000,65000,65000,65000,80000,65000,55000
3,Pasar Jembatan Merah,90000,90000,90000,90000,80000,80000,80000,80000,80000,80000,80000,70000,65000,60000,60000,60000,50000,50000,50000,50000,80000,80000,80000,75000,75000,75000,60000,60000,60000,90000,71724,50000
4,Pasar Sunter Podomoro,70000,70000,75000,75000,70000,75000,75000,70000,80000,55000,60000,60000,60000,60000,60000,60000,60000,60000,50000,50000,50000,50000,50000,71000,70000,70000,60000,70000,70000,80000,64000,50000
5,Pasar Rawa Badak,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,50000,50000,50000,50000,50000,50000,50000,45000,60000,60000,60000,60000,60000,60000,65000,50000,45000,45000,45000,70000,58793,45000
6,Pasar Grogol,70000,70000,70000,70000,65000,65000,65000,60000,60000,60000,50000,53000,53000,53000,53000,53000,50000,50000,50000,60000,60000,60000,60000,60000,60000,60000,40000,40000,40000,70000,57241,40000
7,Pasar Glodok,90000,90000,90000,90000,90000,90000,90000,90000,90000,80000,80000,70000,70000,60000,60000,60000,60000,60000,60000,80000,80000,70000,70000,70000,70000,70000,60000,60000,60000,90000,74483,60000
8,Pasar Minggu,60000,60000,60000,60000,70000,70000,65000,65000,55000,55000,65000,65000,55000,55000,45000,45000,45000,45000,65000,70000,70000,70000,70000,70000,70000,70000,45000,45000,45000,70000,59655,45000
9,Pasar Mayestik,85000,85000,85000,85000,90000,90000,80000,80000,80000,75000,75000,75000,75000,75000,75000,75000,75000,60000,70000,80000,70000,70000,70000,70000,70000,60000,60000,60000,60000,90000,74483,60000
10,Pasar Pramuka,70000,70000,80000,80000,80000,80000,80000,80000,80000,60000,60000,60000,60000,60000,60000,60000,50000,50000,50000,50000,50000,50000,50000,70000,70000,70000,70000,70000,70000,80000,65172,50000
11,Pasar Kramat Jati,80000,70000,70000,80000,70000,70000,65000,65000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,70000,70000,70000,70000,70000,60000,60000,60000,50000,80000,64483,50000
12,Pasar Jatinegara,80000,80000,65000,65000,70000,70000,70000,70000,65000,60000,70000,60000,60000,60000,65000,60000,60000,60000,60000,50000,65000,60000,55000,60000,60000,60000,60000,60000,60000,80000,63448,50000
13,Pasar Perumnas Klender,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,55000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,60000,65000,60000,65000,60000,65000,52241,50000
