No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,12000,10000,9000,9000,10000,9000,10000,9000,9000,9000,10000,9000,9000,10000,12000,12000,10000,11000,12000,11000,12000,11000,11000,10000,9000,10000,13000,12000,10000,11000,13000,10367,9000
2,Pasar Senen Blok III - VI,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
3,Pasar Jembatan Merah,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,32500,30000
4,Pasar Sunter Podomoro,40000,35000,25000,25000,25000,25000,25000,25000,25000,25000,25000,26000,25000,25000,25000,26000,25000,26000,26000,25000,25000,25000,25000,25000,21000,26000,26000,25000,25000,26000,40000,25933,21000
5,Pasar Rawa Badak,30000,30000,30000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,25000,25000,25000,30000,30000,25000,25000,30000,28000,25000
6,Pasar Grogol,24000,24000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,24000,24000,24000,24000,24000,24000,20000,20000,24000,21067,20000
7,Pasar Glodok,40000,40000,40000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,31000,30000
8,Pasar Minggu,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
9,Pasar Mayestik,45000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,45000,36667,35000
10,Pasar Pramuka,40000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,40000,25500,25000
11,Pasar Kramat Jati,30000,25000,25000,25000,20000,25000,25000,25000,25000,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,25000,25000,25000,25000,25000,25000,25000,30000,25000,20000
12,Pasar Jatinegara,30000,25000,25000,20000,25000,25000,25000,25000,30000,30000,20000,20000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,20000,30000,30000,30000,25000,30000,25500,20000
13,Pasar Perumnas Klender,30000,25000,25000,20000,20000,20000,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,20000,20000,20000,20000,20000,25000,25000,25000,20000,20000,20000,20000,30000,23000,20000
14,Pasar Pulo Gadung,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,20000,24000,24000,24000,24000,24000,24000,24000,24000,24000,20000,24000,24000,24000,24000,24000,24000,24000,24000,24000,23733,20000
15,Pasar Pal Meriam,20000,20000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,20000,18133,18000
16,Pasar Ciplak,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,20000,18933,18000
17,Pasar Cijantung,25000,25000,25000,25000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,25000,25000,20000,20000,20000,20000,20000,20000,20000,20000,25000,21000,20000
18,Pasar Cibubur,20000,20000,20000,25000,20000,20000,20000,22000,22000,20000,20000,20000,22000,22000,22000,20000,22000,20000,22000,22000,22000,18000,22000,20000,18000,18000,18000,20000,22000,20000,25000,20633,18000
19,Pasar Ujung Menteng,20000,20000,20000,20000,20000,22000,22000,23000,24000,28000,28000,28000,28000,28000,28000,30000,30000,20000,20000,20000,20000,20000,20000,17000,17000,17000,17000,20000,25000,20000,30000,22400,17000
20,Pasar Tanah Abang Blok A-G,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
21,Pasar Petojo Ilir,35000,30000,30000,30000,30000,30000,30000,25000,25000,30000,30000,25000,25000,25000,25000,25000,28000,28000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,35000,26867,25000
22,Pasar Gondangdia,35000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,35000,25333,25000
23,Pasar Paseban,30000,30000,30000,30000,30000,30000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,30000,30000,30000,30000,30000,30000,30000,29667,25000
24,Pasar Cempaka Putih,30000,30000,30000,20000,30000,30000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,30000,21667,20000
25,Pasar Johar Baru,20000,20000,25000,25000,25000,20000,25000,20000,20000,20000,20000,20000,20000,20000,24000,25000,25000,25000,25000,25000,25000,25000,20000,15000,23000,23000,23000,25000,23000,25000,25000,22533,15000
26,Pasar Baru Metro Atom,50000,40000,40000,40000,35000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,35000,50000,50000,50000,35000,30000,35000,30000,30000,35000,40000,35000,35000,50000,37833,30000
27,Pasar Kebayoran Lama,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
28,Pasar Cipete,25000,25000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,25000,20333,20000
