No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,11000,12000,10000,11000,15000,14000,15000,15000,14000,14000,15000,15000,14000,13000,14000,15000,14000,14000,15000,16000,16000,17000,16000,17000,18000,20000,19000,20000,22000,22000,22000,15433,10000
2,Pasar Senen Blok III - VI,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,35000,35000,25333,25000
3,Pasar Jembatan Merah,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,40000,40000,40000,30000,30000,40000,40000,35000,35000,35000,35000,40000,40000,40000,40000,30833,25000
4,Pasar Sunter Podomoro,31000,30000,31000,31000,26000,26000,26000,26000,25000,30000,30000,25000,25000,25000,25000,35000,26000,27000,28000,28000,34000,26000,27000,28000,27000,28000,27000,27000,27000,27000,35000,27800,25000
5,Pasar Rawa Badak,30000,25000,25000,25000,25000,25000,25000,25000,30000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,28000,25000
6,Pasar Grogol,20000,20000,20000,20000,20000,20000,20000,20000,20000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,23467,20000
7,Pasar Glodok,28000,28000,28000,28000,28000,28000,28000,28000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,32000,32000,32000,32000,26500,25000
8,Pasar Minggu,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,29000,25000
9,Pasar Mayestik,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
10,Pasar Pramuka,25000,25000,25000,35000,35000,35000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,35000,25667,24000
11,Pasar Kramat Jati,25000,25000,30000,30000,30000,25000,25000,25000,30000,25000,25000,25000,25000,25000,25000,30000,30000,25000,25000,25000,25000,30000,30000,25000,30000,30000,25000,30000,30000,35000,35000,27333,25000
12,Pasar Jatinegara,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,25000,28000,25000,30000,30000,25000,25000,25000,30000,25000,25000,30000,25000,30000,25000,25000,25000,30000,30000,30000,30000,27100,25000
13,Pasar Perumnas Klender,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,22500,20000
14,Pasar Pulo Gadung,24000,24000,24000,20000,20000,20000,24000,24000,24000,20000,24000,24000,24000,24000,24000,24000,24000,25000,25000,25000,28000,26000,25000,25000,25000,25000,25000,32000,32000,32000,32000,24733,20000
15,Pasar Pal Meriam,18000,18000,18000,18000,18000,18000,18000,20000,20000,20000,24000,24000,24000,24000,24000,24000,22000,24000,24000,24000,25000,24000,24000,24000,24000,26000,26000,26000,28000,30000,30000,22700,18000
16,Pasar Ciplak,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
17,Pasar Cijantung,20000,20000,20000,20000,20000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,28000,28000,28000,28000,28000,30000,30000,35000,35000,24767,20000
18,Pasar Cibubur,20000,22000,22000,20000,20000,20000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,24000,22000,24000,30000,28000,26000,28000,26000,30000,22000,22000,22000,30000,28000,30000,23533,20000
19,Pasar Ujung Menteng,20000,20000,20000,20000,20000,23000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,22000,22000,22000,22000,22000,22000,22000,25000,25000,26000,26000,26000,26000,26000,26000,23567,20000
20,Pasar Tanah Abang Blok A-G,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,35000,35000,35000,35000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30833,25000
21,Pasar Petojo Ilir,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,28000,28000,25000,25000,25000,25000,25000,30000,30000,35000,35000,35000,35000,35000,35000,35000,27867,25000
