No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,36000,37000,39000,41000,42000,41000,44000,45000,42000,43000,40000,40000,37000,36000,38000,42000,45000,45000,44000,49000,52000,53000,51000,50000,47000,46000,44000,43000,45000,40000,37000,53000,43032,36000
2,Pasar Senen Blok III - VI,50000,55000,50000,50000,50000,50000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,70000,70000,70000,70000,70000,70000,70000,55000,55000,60000,60000,70000,60161,50000
3,Pasar Jembatan Merah,50000,50000,50000,50000,60000,60000,70000,70000,65000,65000,65000,65000,65000,65000,65000,65000,60000,60000,60000,60000,65000,70000,70000,65000,65000,65000,65000,70000,70000,65000,70000,70000,63226,50000
4,Pasar Sunter Podomoro,40000,42000,52000,50000,50000,50000,54000,54000,52000,58000,58000,60000,59000,58000,52000,52000,62000,65000,65000,58000,63000,68000,68000,63000,63000,60000,60000,62000,60000,59000,58000,68000,57258,40000
5,Pasar Rawa Badak,40000,40000,40000,40000,30000,30000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,56452,30000
6,Pasar Grogol,38000,38000,38000,48000,48000,48000,48000,54000,53000,53000,53000,53000,53000,50000,50000,50000,60000,63000,63000,63000,65000,65000,60000,60000,60000,60000,60000,60000,60000,60000,60000,65000,54645,38000
7,Pasar Glodok,55000,55000,60000,60000,60000,60000,65000,60000,60000,60000,60000,60000,60000,60000,60000,55000,60000,65000,65000,65000,60000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,65000,55000
8,Pasar Minggu,50000,50000,50000,60000,60000,60000,55000,55000,55000,55000,60000,60000,60000,55000,60000,60000,60000,60000,60000,70000,60000,60000,60000,65000,65000,65000,65000,65000,65000,65000,65000,70000,59839,50000
9,Pasar Mayestik,50000,50000,50000,50000,50000,50000,70000,70000,70000,60000,70000,70000,70000,70000,50000,50000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,75000,75000,65000,65000,75000,62742,50000
10,Pasar Pramuka,40000,40000,40000,40000,40000,40000,40000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,59032,40000
11,Pasar Kramat Jati,45000,45000,45000,50000,50000,50000,60000,60000,60000,60000,55000,60000,60000,50000,55000,55000,65000,70000,70000,70000,65000,70000,70000,70000,70000,60000,60000,70000,70000,70000,75000,75000,60806,45000
12,Pasar Jatinegara,45000,50000,45000,50000,50000,50000,55000,50000,50000,50000,50000,50000,50000,50000,50000,55000,60000,60000,60000,60000,60000,70000,70000,70000,65000,60000,70000,70000,70000,60000,50000,70000,56613,45000
13,Pasar Perumnas Klender,45000,45000,50000,50000,50000,50000,50000,50000,50000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,65000,65000,70000,70000,70000,70000,70000,70000,65000,60000,70000,70000,59516,45000
14,Pasar Pulo Gadung,48000,45000,48000,48000,53000,48000,55000,48000,48000,50000,55000,58000,58000,58000,50000,60000,65000,75000,65000,75000,60000,65000,70000,68000,70000,70000,70000,70000,70000,60000,6000,75000,57710,6000
15,Pasar Pal Meriam,40000,40000,40000,40000,40000,40000,50000,50000,55000,50000,50000,50000,50000,50000,50000,50000,50000,55000,55000,55000,55000,60000,70000,70000,65000,65000,55000,55000,55000,60000,60000,70000,52581,40000
16,Pasar Ciplak,35000,35000,35000,35000,40000,40000,35000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,50000,50000,50000,50000,50000,50000,50000,50000,50000,60000,51774,35000
17,Pasar Cijantung,45000,45000,45000,45000,50000,50000,50000,50000,50000,50000,50000,60000,60000,55000,55000,55000,60000,65000,65000,65000,65000,65000,65000,65000,65000,60000,60000,60000,65000,60000,60000,65000,56774,45000
18,Pasar Cibubur,40000,45000,40000,40000,40000,40000,50000,55000,55000,55000,60000,55000,55000,55000,50000,55000,55000,55000,55000,60000,60000,60000,65000,60000,60000,60000,60000,50000,55000,60000,60000,65000,53710,40000
19,Pasar Ujung Menteng,46000,50000,50000,48000,50000,48000,48000,60000,60000,60000,60000,60000,52000,60000,60000,60000,60000,60000,60000,60000,65000,70000,70000,70000,70000,60000,65000,60000,60000,60000,60000,70000,58774,46000
20,Pasar Tanah Abang Blok A-G,50000,50000,50000,50000,50000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,70000,70000,70000,70000,70000,70000,70000,70000,60645,50000
21,Pasar Petojo Ilir,50000,50000,50000,50000,50000,50000,55000,55000,55000,55000,60000,60000,60000,60000,60000,50000,50000,45000,40000,40000,60000,60000,70000,70000,65000,65000,65000,60000,60000,60000,60000,70000,56129,40000
22,Pasar Gondangdia,52000,52000,55000,55000,55000,55000,65000,60000,60000,60000,60000,60000,60000,60000,55000,60000,60000,70000,70000,70000,72000,75000,72000,72000,72000,72000,72000,70000,65000,65000,65000,75000,63419,52000
23,Pasar Paseban,40000,40000,50000,40000,40000,40000,50000,50000,50000,50000,50000,50000,50000,50000,50000,55000,50000,55000,65000,65000,65000,65000,65000,70000,60000,60000,60000,70000,70000,70000,70000,70000,55323,40000
24,Pasar Cempaka Putih,45000,35000,45000,45000,45000,45000,50000,50000,50000,50000,53000,53000,53000,50000,53000,53000,53000,60000,60000,60000,60000,60000,60000,60000,70000,70000,70000,70000,70000,70000,70000,70000,56065,35000
25,Pasar Johar Baru,50000,50000,50000,45000,50000,50000,50000,50000,50000,50000,55000,50000,50000,43000,45000,50000,50000,60000,60000,65000,65000,60000,60000,60000,60000,50000,50000,60000,50000,50000,50000,65000,52839,43000
26,Pasar Baru Metro Atom,45000,45000,55000,60000,60000,60000,65000,65000,65000,65000,65000,65000,65000,65000,65000,60000,60000,65000,65000,70000,70000,70000,70000,75000,75000,75000,75000,75000,75000,75000,75000,75000,65806,45000
27,Pasar Kebayoran Lama,50000,50000,50000,50000,50000,45000,40000,60000,50000,48000,60000,60000,60000,58000,58000,60000,65000,65000,65000,60000,60000,65000,65000,65000,60000,55000,60000,60000,55000,50000,50000,65000,56419,40000
28,Pasar Cipete,45000,45000,46000,46000,46000,46000,55000,55000,55000,55000,55000,58000,58000,50000,50000,55000,55000,65000,65000,65000,65000,65000,65000,65000,65000,68000,65000,65000,60000,60000,50000,68000,56871,45000
29,Pasar Pesanggrahan,45000,45000,45000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,55000,55000,75000,70000,70000,70000,70000,70000,70000,70000,65000,65000,65000,60000,60000,70000,65000,75000,61935,45000
30,Pasar Pondok Labu,60000,60000,55000,55000,60000,60000,60000,60000,60000,60000,65000,65000,65000,60000,60000,60000,60000,60000,60000,60000,70000,70000,70000,70000,70000,70000,70000,60000,60000,60000,60000,70000,62419,55000
31,Pasar Lenteng Agung,45000,45000,45000,45000,45000,45000,45000,60000,55000,65000,65000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,70000,65000,65000,65000,60000,65000,70000,60000,65000,65000,70000,58387,45000
32,Pasar Mampang Prapatan,44000,50000,50000,50000,50000,50000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,65000,65000,65000,65000,70000,70000,70000,70000,70000,70000,65000,65000,65000,65000,70000,61097,44000
33,Pasar Tebet Barat,60000,60000,60000,60000,60000,60000,60000,60000,60000,70000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,70000,65000,65000,65000,60000,65000,70000,60000,65000,65000,70000,61935,60000
34,Pasar Rumput,40000,45000,55000,55000,55000,55000,58000,58000,58000,55000,50000,50000,58000,58000,60000,60000,60000,60000,65000,65000,65000,65000,65000,65000,65000,60000,60000,60000,60000,60000,60000,65000,58226,40000
35,Pasar Tomang Barat,50000,50000,45000,50000,50000,50000,55000,60000,60000,60000,60000,60000,65000,65000,60000,60000,60000,70000,70000,70000,75000,75000,75000,80000,75000,75000,75000,75000,70000,70000,60000,80000,63710,45000
36,Pasar Cengkareng,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,60000,60000,60000,60000,60000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,58710,50000
37,Pasar Kalideres,50000,45000,45000,45000,55000,55000,60000,55000,55000,55000,55000,50000,50000,55000,50000,55000,60000,60000,75000,65000,65000,60000,60000,60000,55000,55000,55000,60000,50000,50000,45000,75000,55161,45000
38,Pasar Pos Pengumben,50000,50000,50000,50000,50000,50000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,65000,65000,65000,65000,65000,65000,65000,65000,60000,60000,55000,55000,65000,56935,50000
39,Pasar Pal Merah,45000,45000,50000,50000,60000,60000,60000,60000,60000,60000,60000,55000,55000,60000,60000,55000,60000,60000,55000,55000,70000,70000,70000,70000,70000,62000,62000,65000,70000,50000,60000,70000,59484,45000
40,Pasar Jembatan Lima,44000,45000,43000,43000,47000,45000,46000,49000,50000,45000,47000,45000,42000,45000,43000,45000,50000,55000,50000,50000,54000,55000,58000,56000,55000,55000,55000,60000,60000,55000,50000,60000,49742,42000
41,Pasar Kelapa Gading,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,65000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,59677,55000
42,Pasar Pademangan Timur,43000,43000,50000,45000,50000,50000,50000,50000,50000,55000,55000,60000,60000,50000,50000,50000,60000,55000,55000,55000,60000,60000,65000,65000,65000,65000,65000,65000,60000,50000,60000,65000,55355,43000
43,Pasar Pluit,50000,50000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,65000,65000,65000,65000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,64516,50000
44,Pasar Kalibaru,50000,40000,50000,50000,50000,60000,60000,60000,60000,60000,60000,50000,50000,50000,50000,60000,60000,60000,60000,65000,70000,60000,60000,70000,70000,70000,70000,70000,70000,60000,60000,70000,59194,40000
45,Pasar Koja Baru,40000,40000,45000,50000,50000,50000,50000,55000,50000,50000,60000,60000,60000,60000,60000,55000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,65000,60000,65000,65000,70000,60000,40000
