No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,28000,30000,28000,27000,27000,25000,26000,24000,24000,26000,23000,25000,24000,25000,27000,26000,27000,26000,24000,26000,27000,24000,23000,26000,27000,25000,33000,31000,34000,35000,35000,26767,23000
2,Pasar Senen Blok III - VI,40000,40000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,50000,50000,42500,40000
3,Pasar Jembatan Merah,40000,40000,40000,50000,50000,45000,45000,45000,45000,50000,50000,50000,40000,40000,40000,45000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,47167,40000
4,Pasar Sunter Podomoro,46000,47000,44000,46000,46000,46000,46000,43000,39000,46000,47000,46000,45000,46000,46000,46000,49000,39000,39000,46000,46000,46000,46000,46000,42000,41000,40000,40000,40000,42000,49000,44233,39000
5,Pasar Rawa Badak,30000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,45000,45000,45000,45000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,50000,42667,30000
6,Pasar Grogol,40000,40000,40000,40000,35000,35000,35000,35000,38000,35000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,40000,37767,35000
7,Pasar Glodok,45000,47000,47000,45000,47000,45000,45000,45000,45000,45000,45000,42000,42000,42000,42000,40000,40000,40000,40000,40000,43000,43000,43000,43000,43000,43000,48000,48000,48000,48000,48000,43967,40000
8,Pasar Minggu,50000,50000,50000,50000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,40000,40000,50000,50000,50000,50000,42500,40000
9,Pasar Mayestik,35000,35000,35000,35000,35000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,55000,55000,55000,55000,55000,55000,50000,50000,50000,50000,50000,50000,60000,52833,35000
10,Pasar Pramuka,40000,40000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,60000,60000,60000,60000,50000,50000,50000,50000,50000,50000,50000,40000,40000,40000,40000,40000,40000,60000,48667,40000
11,Pasar Kramat Jati,50000,55000,55000,40000,45000,45000,45000,45000,45000,40000,40000,45000,40000,40000,50000,45000,45000,45000,45000,45000,45000,45000,40000,45000,45000,45000,45000,40000,45000,45000,55000,44833,40000
12,Pasar Jatinegara,40000,45000,45000,40000,40000,45000,40000,40000,40000,35000,40000,40000,40000,40000,40000,40000,40000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,40000,45000,40833,35000
13,Pasar Perumnas Klender,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,48000,45000,40000,45000,45000,45000,45000,45000,45000,45000,40000,50000,50000,40000,50000,42267,40000
14,Pasar Pulo Gadung,44000,44000,44000,44000,44000,44000,44000,44000,40000,44000,44000,44000,44000,46000,44000,44000,45000,32000,40000,40000,38000,40000,38000,40000,45000,40000,45000,45000,45000,45000,46000,42667,32000
15,Pasar Pal Meriam,40000,40000,40000,40000,40000,40000,35000,35000,35000,30000,35000,35000,35000,30000,30000,35000,35000,35000,35000,35000,30000,40000,40000,40000,35000,35000,40000,40000,40000,40000,40000,36500,30000
16,Pasar Ciplak,36000,40000,38000,36000,36000,36000,36000,36000,35000,35000,35000,35000,35000,35000,35000,35000,35000,20000,35000,35000,35000,35000,33000,35000,25000,25000,43000,40000,40000,35000,43000,34833,20000
17,Pasar Cijantung,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,40000,40000,40000,40000,40000,45000,45000,39833,35000
18,Pasar Cibubur,45000,40000,38000,40000,38000,30000,30000,40000,40000,35000,35000,40000,40000,40000,40000,40000,40000,40000,38000,38000,38000,38000,40000,40000,38000,40000,40000,40000,45000,40000,45000,38867,30000
