Usia;Kelompok
4.0       ;Balita              
74.0      ;Tua                 
12.0      ;Remaja              
36.0      ;Dewasa              
58.0      ;Tua                 
59.0      ;Tua                 
54.0      ;Dewasa              
10.0      ;Kanak-kanak         
18.0      ;Pemuda              
12.0      ;Remaja              
4.0       ;Balita              
19.0      ;Pemuda              
8.0       ;Kanak-kanak         
61.0      ;Tua                 
19.0      ;Pemuda              
77.0      ;Tua                 
30.0      ;Dewasa              
36.0      ;Dewasa              
74.0      ;Tua                 
28.0      ;Dewasa              
16.0      ;Remaja              
27.0      ;Dewasa              
17.0      ;Pemuda              
62.0      ;Tua                 
6.0       ;Kanak-kanak         
50.0      ;Dewasa              
67.0      ;Tua                 
16.0      ;Remaja              
54.0      ;Dewasa              
78.0      ;Tua                 
24.0      ;Dewasa              
19.0      ;Pemuda              
63.0      ;Tua                 
50.0      ;Dewasa              
31.0      ;Dewasa              
61.0      ;Tua                 
35.0      ;Dewasa              
63.0      ;Tua                 
25.0      ;Dewasa              
38.0      ;Dewasa              
9.0       ;Kanak-kanak         
53.0      ;Dewasa              
65.0      ;Tua                 
20.0      ;Pemuda              
24.0      ;Dewasa              
40.0      ;Dewasa              
25.0      ;Dewasa              
79.0      ;Tua                 
77.0      ;Tua                 
16.0      ;Remaja              
15.0      ;Remaja              
33.0      ;Dewasa              
29.0      ;Dewasa              
13.0      ;Remaja              
54.0      ;Dewasa              
64.0      ;Tua                 
49.0      ;Dewasa              
74.0      ;Tua                 
10.0      ;Kanak-kanak         
49.0      ;Dewasa              
53.0      ;Dewasa              
67.0      ;Tua                 
46.0      ;Dewasa              
52.0      ;Dewasa              
13.0      ;Remaja              
30.0      ;Dewasa              
16.0      ;Remaja              
30.0      ;Dewasa              
21.0      ;Pemuda              
3.0       ;Balita              
17.0      ;Pemuda              
51.0      ;Dewasa              
66.0      ;Tua                 
67.0      ;Tua                 
75.0      ;Tua                 
17.0      ;Pemuda              
59.0      ;Tua                 
54.0      ;Dewasa              
70.0      ;Tua                 
31.0      ;Dewasa              
1.0       ;Balita              
50.0      ;Dewasa              
8.0       ;Kanak-kanak         
53.0      ;Dewasa              
73.0      ;Tua                 
54.0      ;Dewasa              
33.0      ;Dewasa              
73.0      ;Tua                 
23.0      ;Pemuda              
75.0      ;Tua                 
54.0      ;Dewasa              
4.0       ;Balita              
6.0       ;Kanak-kanak         
54.0      ;Dewasa              
1.0       ;Balita              
50.0      ;Dewasa              
42.0      ;Dewasa              
64.0      ;Tua                 
41.0      ;Dewasa              
37.0      ;Dewasa              
